(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) Substances actives;(produit) fonctions;(produit) formulations;identifiant usage lib court;identifiant usage; date decision;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;Unnamed: 29
PPP;2090065;VALIS F;GORILLA F | EMENDO F;BELCHIM CROP PROTECTION NV/SA;Produit de référence;Professionnel;;folpel (Folpet) 480.0 g/kg | valifénalate (Valifenalate) 60.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);01/08/2019;53.0;69.0;Autorisé;2.0;kg/ha;;;2.0;;;Uniquement sur raisin de table. 2 applications maximum par an et par culture.;20.0;;;;
PPP;2090065;VALIS F;GORILLA F | EMENDO F;BELCHIM CROP PROTECTION NV/SA;Produit de référence;Professionnel;;folpel (Folpet) 480.0 g/kg | valifénalate (Valifenalate) 60.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);01/08/2019;53.0;83.0;Autorisé;2.0;kg/ha;28.0;;2.0;;;Uniquement sur raisin de cuve. 2 applications maximum par an et par culture.;20.0;;;;
PPP;2090065;VALIS F;GORILLA F | EMENDO F;BELCHIM CROP PROTECTION NV/SA;Produit de référence;Professionnel;;folpel (Folpet) 480.0 g/kg | valifénalate (Valifenalate) 60.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);01/08/2019;15.0;53.0;Autorisé;2.0;kg/ha;;;2.0;;;Uniquement sur raisin de table. 2 applications maximum par an et par culture.;5.0;;;;
PPP;2090065;VALIS F;GORILLA F | EMENDO F;BELCHIM CROP PROTECTION NV/SA;Produit de référence;Professionnel;;folpel (Folpet) 480.0 g/kg | valifénalate (Valifenalate) 60.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);01/08/2019;15.0;53.0;Autorisé;2.0;kg/ha;28.0;;2.0;;;Uniquement sur raisin de cuve. 2 applications maximum par an et par culture.;5.0;;;;
PPP;2090126;MILDICUT;OKUBI | KENKIO | YSAYO;ISK BIOSCIENCES EUROPE N.V;Produit de référence;Professionnel;;cyazofamide (Cyazofamid) 25.0 g/L | phosphonate de disodium (Disodium phosphonate) 250.0 g/L;Fongicide;Suspension concentrée;12703203;Vigne*Trt Part.Aer.*Mildiou(s);03/12/2020;15.0;89.0;Autorisé;4.5;L/ha;21.0;;1.0;;;;5.0;;;;
PPP;2180899;CURAME BORDEAUX;;MANICA S.P.A.;Produit de référence;Professionnel;;cuivre (Copper compounds) 150.0 g/kg | cymoxanil (Cymoxanil) 24.0 g/kg;Fongicide;Poudre mouillable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);28/12/2018;66.0;85.0;Autorisé;5.0;kg/ha;20.0;;2.0;;;;50.0;;;;
PPP;2190272;SUGOBY;;LAINCO SA;Produit de référence;Professionnel;;krésoxime-méthyle (Kresoxim-methyl) 500.0 g/kg;Fongicide;Granulé dispersable;12703206;Vigne*Trt Part.Aer.*Black rot;04/07/2019;19.0;81.0;Autorisé;0.3;kg/ha;35.0;;2.0;;;;5.0;;;;
PPP;2190270;QUIMERA;;INDUSTRIAS AFRASA S.A.;Produit de référence;Professionnel;;krésoxime-méthyle (Kresoxim-methyl) 500.0 g/kg;Fongicide;Granulé dispersable;12703206;Vigne*Trt Part.Aer.*Black rot;04/07/2019;19.0;81.0;Autorisé;0.3;kg/ha;35.0;;2.0;;;;5.0;;;;
PPP;2190115;KILATE;;LAINCO S.A.;Produit de référence;Professionnel;;fosétyl d'aluminium (Fosetyl) 800.0 g/kg;Fongicide;Poudre mouillable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);21/03/2019;12.0;;Autorisé;2.5;kg/ha;28.0;;3.0;;;;5.0;;;;
PPP;2170335;APACHE EW;;INDUSTRIAS AFRASA S.A.;Produit de référence;Professionnel;;abamectine (Abamectin) 18.0 g/L;Insecticide | Acaricide;Emulsion de type aqueux;12703101;Vigne*Trt Part.Aer.*Acariens;15/05/2018;69.0;89.0;Autorisé;1.0;L/ha;14.0;;1.0;;;;5.0;20.0;;;
PPP;2190010;JULIETTA;HIVA;AGRAUXINE;Produit de référence;Professionnel;Produit à faible risque article 47 | Liste biocontrôle | Utilisable en agriculture biologique;Saccharomyces cerevisiae souche LAS02 (Saccharomyces cerevisiae LAS02) 10000000000000 UFC/kg;Fongicide;Granulé dispersable;12703205;Vigne*Trt Part.Aer.*Pourriture grise;22/02/2019;60.0;89.0;Autorisé;2.5;kg/ha;1.0;;6.0;;;;5.0;;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703117;Vigne*Trt Part.Aer.*Chenilles phytophages;03/02/2015;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table : ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);03/02/2015;;;Autorisé;0.83;L/ha;7.0;;3.0;;;raisin de table : sur cicadelle des grillures;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703112;Vigne*Trt Part.Aer.*Coléoptères phytophages;03/02/2015;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table : ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703140;Vigne*Trt Part.Aer.*Mouches;03/02/2015;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table : ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703141;Vigne*Trt Part.Aer.*Thrips;03/02/2015;;;Autorisé;0.83;L/ha;7.0;;3.0;;;raisin de table : ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;03/02/2015;;;Autorisé;0.83;L/ha;7.0;;3.0;;;raisin de table : ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12702104;Vigne*Trt Sol*Ravageurs du sol;03/02/2015;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table : ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703117;Vigne*Trt Part.Aer.*Chenilles phytophages;03/02/2015;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);03/02/2015;;;Autorisé;0.83;L/ha;14.0;;3.0;;;raisin de cuve: sur cicadelle des grillures;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);03/02/2015;;;Autorisé;0.5;L/ha;7.0;;3.0;;;Autorisé sur raisin de table.  Efficacité montrée sur cicadelle de la flavescence dorée. Emploi autorisé pendant la floraison en dehors de la présence d'abeilles pour une application maximum. Emploi autorisé au cours des périodes de production d'exsudats en dehors de la présence d'abeilles pour des applications à 0,42 L/ha (6.25 g sa/ha). ;20.0;5.0;;Mention abeille;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);03/02/2015;;;Autorisé;0.5;L/ha;14.0;;3.0;;;Autorisé sur raisin de cuve  Efficacité montrée sur cicadelle de la flavescence dorée. Emploi autorisé pendant la floraison en dehors de la présence d'abeilles pour une application maximum. Emploi autorisé au cours des périodes de production d'exsudats en dehors de la présence d'abeilles pour des applications à 0,42 L/ha (6.25 g sa/ha).  ;20.0;5.0;;Mention abeille;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703112;Vigne*Trt Part.Aer.*Coléoptères phytophages;03/02/2015;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703140;Vigne*Trt Part.Aer.*Mouches;03/02/2015;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703141;Vigne*Trt Part.Aer.*Thrips;03/02/2015;;;Autorisé;0.83;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;03/02/2015;;;Autorisé;0.83;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2010023;DECIS PROTECH;PEARL PROTECH | SPLIT PROTECH;BAYER SAS;Produit de référence;Professionnel;Mention abeille;deltaméthrine (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12702104;Vigne*Trt Sol*Ravageurs du sol;03/02/2015;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2170780;BOTANIGARD 22 WP;;CERTIS EUROPE BV;Produit de référence;Professionnel;Liste biocontrôle | Utilisable en agriculture biologique;Beauveria bassiana souche GHA (Beauveria bassiana strain GHA) 44000000000 UFC/g;Insecticide;Poudre mouillable;12703120;Vigne*Trt Part.Aer.*Aleurodes;11/10/2017;10.0;89.0;Autorisé;0.75;kg/ha;1.0;;12.0;;;Uniquement autorisé sur raisin de table sous abri. Intervalle minimum entre les applications : 5 jours.;;;;;
PPP;2170654;ROMEO;;AGRAUXINE;Produit de référence;Professionnel;Utilisable en agriculture biologique | Produit à faible risque article 47 | Liste biocontrôle;Cerevisane (Cerevisane) 941.0 g/kg;Stimulation des défenses naturelles;Poudre mouillable;901063;Vigne*Trt Part.Aer.*Stimul. Déf. naturelles;26/10/2017;12.0;89.0;Autorisé;0.25;kg/ha;1.0;;10.0;;;Efficacité montrée sur mildiou, oïdium et pourriture grise.;5.0;;;;
PPP;2170428;MATSUDA;JOCOTO | REGISTER;ASCENZA France;Produit de référence;Professionnel;;flazasulfuron (Flazasulfuron) 250.0 g/kg;Herbicide;Granulé dispersable;12705902;Vigne*Désherbage*Cult. Installées;23/06/2017;;;Autorisé;0.2;kg/ha;;;1.0;;;Uniquement pour une application avec un pulvérisateur à rampe. Application en hiver ou au printemps Une application sur le rang, par an et par culture : ne pas appliquer sur plus de la moitié de la surface. ;20.0;;5.0;;
PPP;2170436;AGREE 50 WG;;Mitsui AgriScience International S.A./N.V;Produit de référence;Professionnel;Liste biocontrôle | Mention abeille | Utilisable en agriculture biologique;Bacillus thuringiensis subsp. aizawai SOUCHE: GC-91 Collection de cultures: (Bacillus thuringiensis subsp. aizawai) 228.5 g/kg;Insecticide;Granulé dispersable;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;29/06/2017;53.0;89.0;Autorisé;1.5;kg/ha;3.0;;4.0;;;;5.0;;;;
PPP;2090104;DOURO;TAUPO;ASCENZA AGRO, SA;Produit de référence;Professionnel;;penconazole (Penconazole) 100.0 g/L;Fongicide;Concentré émulsionnable;12703204;Vigne*Trt Part.Aer.*Oïdium(s);31/03/2016;;;Retrait;0.25;L/ha;30.0;;3.0;30/09/2016;30/09/2017;;;;;;
PPP;6200445;AFESOUFRE VENTILE 98.5;MOPFLUID;AFEPASA (AZUFRERA Y FERTILIZANTES PALLARES SA);Produit de référence;Professionnel;Utilisable en agriculture biologique | Liste biocontrôle;soufre (Sulphur) 985.0 g/kg;Fongicide;Poudre pour poudrage;12703204;Vigne*Trt Part.Aer.*Oïdium(s);24/09/2015;15.0;18.0;Autorisé;25.0;kg/ha;5.0;;8.0;;;;5.0;20.0;;;
PPP;2180829;AIRONE SC;GRIFON SC | BADGE SC;ISAGRO SPA;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 272.0 g/L;Fongicide;Suspension concentrée;12703203;Vigne*Trt Part.Aer.*Mildiou(s);20/12/2018;13.0;60.0;Autorisé;2.0;L/ha;;;3.0;;;5 applications par an et par culture pour contrôler l'ensemble des maladies.;20.0;;;;
PPP;2180829;AIRONE SC;GRIFON SC | BADGE SC;ISAGRO SPA;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 272.0 g/L;Fongicide;Suspension concentrée;12703203;Vigne*Trt Part.Aer.*Mildiou(s);20/12/2018;60.0;83.0;Autorisé;2.5;L/ha;21.0;;5.0;;;5 applications par an et par culture pour contrôler l'ensemble des maladies;50.0;;;;
PPP;2180829;AIRONE SC;GRIFON SC | BADGE SC;ISAGRO SPA;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 272.0 g/L;Fongicide;Suspension concentrée;12703206;Vigne*Trt Part.Aer.*Black rot;20/12/2018;13.0;60.0;Autorisé;2.0;L/ha;;;3.0;;;5 applications par an et par culture pour contrôler l'ensemble des maladies;20.0;;;;
PPP;2180829;AIRONE SC;GRIFON SC | BADGE SC;ISAGRO SPA;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 272.0 g/L;Fongicide;Suspension concentrée;12703206;Vigne*Trt Part.Aer.*Black rot;20/12/2018;60.0;83.0;Autorisé;2.5;L/ha;21.0;;5.0;;;5 applications par an et par culture pour contrôler l'ensemble des maladies.;50.0;;;;
PPP;2130273;CIDETRAK-EGVM;;CERTIS EUROPE BV;Produit de référence;Professionnel;Utilisable en agriculture biologique | Liste biocontrôle;(E,Z)-7,9-dodécadien-1-yl acétate (Straight Chain Lepidopteran Pheromones) 0.19 g/diffuseur;Attractif phéromone (confusion sexuelle);Produit diffuseur de vapeur;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;10/03/2014;;;Autorisé;500.0;diffuseurs/ha;;;1.0;;;Autorisé uniquement contre Eudémis.;;;;;
PPP;9200235;CITROLE;;TOTAL FLUIDES;Produit de référence;Professionnel;Liste biocontrôle | Mention abeille | Utilisable en agriculture biologique;huile de paraffine (CAS n°64742-46-7) (Paraffin oils) 790.0 g/L;Insecticide | Acaricide;Concentré émulsionnable;31651003;Adjuvants*Bouil. Herbicide;19/11/2018;;;Retrait;;;;;;19/05/2019;19/05/2020;;;;;;
PPP;9200235;CITROLE;;TOTAL FLUIDES;Produit de référence;Professionnel;Liste biocontrôle | Mention abeille | Utilisable en agriculture biologique;huile de paraffine (CAS n°64742-46-7) (Paraffin oils) 790.0 g/L;Insecticide | Acaricide;Concentré émulsionnable;31651001;Adjuvants*Bouil. Insecticide;19/11/2018;;;Retrait;;;;;;19/05/2019;19/05/2020;;;;;;
PPP;2000044;FUSILADE MAX;FUSILADE GOLD | FUSILADE FORET | FUSILADE PRO;NUFARM SAS;Produit de référence;Professionnel;;fluazifop-p-butyl (Fluazifop-P) 125.0 g/L;Herbicide;Concentré émulsionnable;12705902;Vigne*Désherbage*Cult. Installées;12/07/2018;;;Autorisé;2.0;L/ha;28.0;;1.0;;;Efficacité montrée sur graminées annuelles. Ne pas appliquer sur plus de 50 % de la surface de la parcelle.;5.0;;20.0;;
PPP;2190538;PREV-GOLD;;Oro Agri International Ltd;Produit de référence;Professionnel;Liste biocontrôle | Utilisable en agriculture biologique;huile essentielle d'orange (Orange oil) 60.0 g/L;Fongicide | Acaricide | Insecticide;Micro-émulsion;12703204;Vigne*Trt Part.Aer.*Oïdium(s);26/06/2020;15.0;81.0;Autorisé;7.0;L/ha;3.0;;7.0;;;7 applications maximum par cycle cultural pour contrôler l'ensemble des ravageurs et des maladies.;5.0;;;;
PPP;2190538;PREV-GOLD;;Oro Agri International Ltd;Produit de référence;Professionnel;Liste biocontrôle | Utilisable en agriculture biologique;huile essentielle d'orange (Orange oil) 60.0 g/L;Fongicide | Acaricide | Insecticide;Micro-émulsion;12703101;Vigne*Trt Part.Aer.*Acariens;26/06/2020;31.0;78.0;Autorisé;7.0;L/ha;3.0;;3.0;;;7 applications maximum par cycle cultural pour contrôler l'ensemble des ravageurs et des maladies.;5.0;;;;
PPP;2160836;DIFFERENCE;;Q-CHEM NV;Produit de revente;Professionnel;;difénoconazole (Difenoconazole) 250.0 g/L;Fongicide;Concentré émulsionnable;12703206;Vigne*Trt Part.Aer.*Black rot;07/12/2016;;;Autorisé;0.12;L/ha;21.0;;2.0;;;Limitation à 2 applications maximum sur la culture afin de limiter les risques de résistances. Une troisième application est possible pour lutter spécifiquement contre le black rot.;5.0;;;;
PPP;2160836;DIFFERENCE;;Q-CHEM NV;Produit de revente;Professionnel;;difénoconazole (Difenoconazole) 250.0 g/L;Fongicide;Concentré émulsionnable;12703204;Vigne*Trt Part.Aer.*Oïdium(s);07/12/2016;;;Autorisé;0.12;L/ha;21.0;;2.0;;;Limitation à 2 applications maximum sur la culture afin de limiter les risques de résistances. Une troisième application est possible pour lutter spécifiquement contre le black rot.;5.0;;;;
PPP;2160836;DIFFERENCE;;Q-CHEM NV;Produit de revente;Professionnel;;difénoconazole (Difenoconazole) 250.0 g/L;Fongicide;Concentré émulsionnable;12703207;Vigne*Trt Part.Aer.*Rougeot parasitaire;07/12/2016;;;Autorisé;0.12;L/ha;21.0;;2.0;;;Limitation à 2 applications maximum sur la culture afin de limiter les risques de résistances. Une troisième application est possible pour lutter spécifiquement contre le black rot.;5.0;;;;
PPP;2190217;KEYFOL WP;;INDUSTRIAL QUIMICA KEY SA;Générique;Professionnel;;fosétyl d'aluminium (Fosetyl) 800.0 g/kg;Fongicide;Poudre mouillable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);19/04/2019;12.0;;Autorisé;2.5;kg/ha;28.0;;3.0;;;;5.0;;;;
